time,24-hour,18-hour,12-hour,6-hour,3-hour,2-hour,60-min,30-min,15-min,10-min,5-min
13.2,0.78364,0.80938,0.83667,0.89738,0.97418,1,1,1,1,1,1
13.3,0.78904,0.81518,0.84309,0.90542,0.98326,1,1,1,1,1,1
13.4,0.79416,0.82069,0.84918,0.91307,0.99187,1,1,1,1,1,1
13.5,0.799,0.82589,0.85493,0.92031,1,1,1,1,1,1,1
13.6,0.8036,0.83083,0.8604,0.92716,1,1,1,1,1,1,1
13.7,0.808,0.83556,0.86564,0.93367,1,1,1,1,1,1,1
13.8,0.8122,0.84008,0.87063,0.9399,1,1,1,1,1,1,1
13.9,0.8162,0.84438,0.87539,0.94584,1,1,1,1,1,1,1
14,0.82,0.84846,0.8799,0.9515,1,1,1,1,1,1,1
14.1,0.82367,0.85241,0.88427,0.95688,1,1,1,1,1,1,1
14.2,0.82726,0.85627,0.88854,0.96207,1,1,1,1,1,1,1
14.3,0.83079,0.86006,0.89273,0.96715,1,1,1,1,1,1,1
14.4,0.83424,0.86377,0.89684,0.97215,1,1,1,1,1,1,1
14.5,0.83763,0.86741,0.90087,0.97703,1,1,1,1,1,1,1
14.6,0.84094,0.87097,0.9048,0.98183,1,1,1,1,1,1,1
14.7,0.84419,0.87446,0.90867,0.98651,1,1,1,1,1,1,1
14.8,0.84736,0.87787,0.91244,0.99111,1,1,1,1,1,1,1
14.9,0.85047,0.88121,0.91614,0.9956,1,1,1,1,1,1,1
15,0.8535,0.88447,0.91974,1,1,1,1,1,1,1,1
15.1,0.85647,0.88766,0.92327,1,1,1,1,1,1,1,1
15.2,0.85936,0.89077,0.92671,1,1,1,1,1,1,1,1
15.3,0.86219,0.89381,0.93007,1,1,1,1,1,1,1,1
15.4,0.86494,0.89677,0.93334,1,1,1,1,1,1,1,1
15.5,0.86763,0.89966,0.93654,1,1,1,1,1,1,1,1
15.6,0.87024,0.90246,0.93964,1,1,1,1,1,1,1,1
15.7,0.87279,0.90521,0.94268,1,1,1,1,1,1,1,1
15.8,0.87526,0.90786,0.94561,1,1,1,1,1,1,1,1
15.9,0.87767,0.91045,0.94848,1,1,1,1,1,1,1,1
16,0.88,0.91296,0.95125,1,1,1,1,1,1,1,1
16.1,0.88229,0.91542,0.95397,1,1,1,1,1,1,1,1
16.2,0.88455,0.91785,0.95666,1,1,1,1,1,1,1,1
16.3,0.88679,0.92025,0.95932,1,1,1,1,1,1,1,1
16.4,0.889,0.92263,0.96195,1,1,1,1,1,1,1,1
16.5,0.89119,0.92498,0.96455,1,1,1,1,1,1,1,1
16.6,0.89335,0.92731,0.96712,1,1,1,1,1,1,1,1
16.7,0.89549,0.92961,0.96967,1,1,1,1,1,1,1,1
16.8,0.8976,0.93187,0.97218,1,1,1,1,1,1,1,1
16.9,0.89969,0.93412,0.97466,1,1,1,1,1,1,1,1
17,0.90175,0.93633,0.97711,1,1,1,1,1,1,1,1
17.1,0.90379,0.93853,0.97954,1,1,1,1,1,1,1,1
17.2,0.9058,0.94069,0.98193,1,1,1,1,1,1,1,1
17.3,0.90779,0.94283,0.98429,1,1,1,1,1,1,1,1
17.4,0.90975,0.94493,0.98662,1,1,1,1,1,1,1,1
17.5,0.91169,0.94702,0.98893,1,1,1,1,1,1,1,1
17.6,0.9136,0.94907,0.9912,1,1,1,1,1,1,1,1
17.7,0.91549,0.9511,0.99345,1,1,1,1,1,1,1,1
17.8,0.91735,0.9531,0.99566,1,1,1,1,1,1,1,1
17.9,0.91919,0.95508,0.99785,1,1,1,1,1,1,1,1
18,0.921,0.95703,1,1,1,1,1,1,1,1,1
18.1,0.92279,0.95895,1,1,1,1,1,1,1,1,1
18.2,0.92455,0.96084,1,1,1,1,1,1,1,1,1
18.3,0.92629,0.96271,1,1,1,1,1,1,1,1,1
18.4,0.928,0.96455,1,1,1,1,1,1,1,1,1
18.5,0.92969,0.96637,1,1,1,1,1,1,1,1,1
18.6,0.93135,0.96815,1,1,1,1,1,1,1,1,1
18.7,0.93299,0.96991,1,1,1,1,1,1,1,1,1
18.8,0.9346,0.97164,1,1,1,1,1,1,1,1,1
18.9,0.93619,0.97335,1,1,1,1,1,1,1,1,1
19,0.93775,0.97503,1,1,1,1,1,1,1,1,1
19.1,0.93929,0.97669,1,1,1,1,1,1,1,1,1
19.2,0.9408,0.97831,1,1,1,1,1,1,1,1,1
19.3,0.94229,0.97991,1,1,1,1,1,1,1,1,1
19.4,0.94375,0.98148,1,1,1,1,1,1,1,1,1
19.5,0.94519,0.98303,1,1,1,1,1,1,1,1,1
19.6,0.9466,0.98454,1,1,1,1,1,1,1,1,1
