Datetime,time,hour,min,24-hour,18-hour,12-hour,6-hour,3-hour,2-hour,60-min,30-min,15-min,10-min,5-min
1/1/2000 16:36,16.6,16,36,0.89549,0.92961,0.96967,,,,,,,,
1/1/2000 16:42,16.7,16,42,0.8976,0.93187,0.97218,,,,,,,,
1/1/2000 16:48,16.8,16,48,0.89969,0.93412,0.97466,,,,,,,,
1/1/2000 16:54,16.9,16,54,0.90175,0.93633,0.97711,,,,,,,,
1/1/2000 17:00,17,17,0,0.90379,0.93853,0.97954,,,,,,,,
1/1/2000 17:06,17.1,17,6,0.9058,0.94069,0.98193,,,,,,,,
1/1/2000 17:12,17.2,17,12,0.90779,0.94283,0.98429,,,,,,,,
1/1/2000 17:18,17.3,17,18,0.90975,0.94493,0.98662,,,,,,,,
1/1/2000 17:24,17.4,17,24,0.91169,0.94702,0.98893,,,,,,,,
1/1/2000 17:30,17.5,17,30,0.9136,0.94907,0.9912,,,,,,,,
1/1/2000 17:36,17.6,17,36,0.91549,0.9511,0.99345,,,,,,,,
1/1/2000 17:42,17.7,17,42,0.91735,0.9531,0.99566,,,,,,,,
1/1/2000 17:48,17.8,17,48,0.91919,0.95508,0.99785,,,,,,,,
1/1/2000 17:54,17.9,17,54,0.921,0.95703,1,,,,,,,,
1/1/2000 18:00,18,18,0,0.92279,0.95895,,,,,,,,,
1/1/2000 18:06,18.1,18,6,0.92455,0.96084,,,,,,,,,
1/1/2000 18:12,18.2,18,12,0.92629,0.96271,,,,,,,,,
1/1/2000 18:18,18.3,18,18,0.928,0.96455,,,,,,,,,
1/1/2000 18:24,18.4,18,24,0.92969,0.96637,,,,,,,,,
1/1/2000 18:30,18.5,18,30,0.93135,0.96815,,,,,,,,,
1/1/2000 18:36,18.6,18,36,0.93299,0.96991,,,,,,,,,
1/1/2000 18:42,18.7,18,42,0.9346,0.97164,,,,,,,,,
1/1/2000 18:48,18.8,18,48,0.93619,0.97335,,,,,,,,,
1/1/2000 18:54,18.9,18,54,0.93775,0.97503,,,,,,,,,
1/1/2000 19:00,19,19,0,0.93929,0.97669,,,,,,,,,
1/1/2000 19:06,19.1,19,6,0.9408,0.97831,,,,,,,,,
1/1/2000 19:12,19.2,19,12,0.94229,0.97991,,,,,,,,,
1/1/2000 19:18,19.3,19,18,0.94375,0.98148,,,,,,,,,
1/1/2000 19:24,19.4,19,24,0.94519,0.98303,,,,,,,,,
1/1/2000 19:30,19.5,19,30,0.9466,0.98454,,,,,,,,,
1/1/2000 19:36,19.6,19,36,0.94799,0.98604,,,,,,,,,
1/1/2000 19:42,19.7,19,42,0.94935,0.9875,,,,,,,,,
1/1/2000 19:48,19.8,19,48,0.95069,0.98894,,,,,,,,,
1/1/2000 19:54,19.9,19,54,0.952,0.99035,,,,,,,,,
1/1/2000 20:00,20,20,0,0.9533,0.99174,,,,,,,,,
